root,before,after,lable
disease,,有哪些症状,disease_symptom
symptom,我最近,怎么办,symptom_curway
symptom,,怎么治疗,symptom_curway
symptom,,是什么病,symptom_disease
symptom,我,是什么病,symptom_disease
disease,,有哪些并发症,disease_acompany
disease,得了,可能会引发其它什么病,disease_acompany
disease,,不能吃什么,disease_not_food
disease,,不可以吃什么东西,disease_not_food
disease,,禁止吃什么东西,disease_not_food
disease,,要吃啥,disease_do_food
disease,,吃啥好,disease_do_food
disease,,吃什么药,disease_drug
disease,什么药能治,,disease_drug
drug,,能治什么病,drug_disease
drug,,有什么用,drug_disease
drug,吃,能治什么病,drug_disease
disease,,要做什么检查,disease_check
disease,,要检查哪些项目,disease_check
disease,,要查哪些项目,disease_check
check,,能查出什么病,check_disease
check,,有什么用,check_disease
check,,用来干什么的,check_disease
disease,怎么预防,,disease_prevent
disease,怎么才能预防,,disease_prevent
disease,,治疗周期是多久,disease_lasttime
disease,,多久才能治好,disease_lasttime
disease,,多久会好,disease_lasttime
disease,,怎么办,disease_cureway
disease,,怎么治疗,disease_cureway
disease,,要怎么治,disease_cureway
disease,,能治好吗,disease_cureprob
disease,,治愈概率多大,disease_cureprob
disease,,有多大可能性能治好,disease_cureprob
disease,哪些人容易得,,disease_easyget
disease,哪些人会得,,disease_easyget
disease,,易感人群是哪些,disease_easyget
